Nederlands;Gronings
In het licht van een lantaarn, ongeveer een tiental meter van ons vandaan, staat een witte politieauto.;In de gloud van n lanteern, om en bie datteg meter vanòf ons stee op stand, staait n widde plietsieauto.
Twee snuffelaars zitten op de achterbank: het is jongvolk van mijn eigen leeftijd.;Twij snötoapen zitten op dachterbaank: t is jonkvolk van mien aigen leeftied.
Een week later.;n Weke loater.
De fietsen zijn terug, de straat slaapt weer rustig.;De fietsen binnen terogge, de stroade slept weer rusteg.
Op de voortuin is mijn oude heer hard aan het scheppen.;Op de veurtoene is mien ol heer krödde aan t schovveln.
Ik zit op mijn slaapkamer en kijk naar buiten.;Ik zit op mien sloapkoamer en kiek noar boeten.
Voor het huis loopt een steegje.;Veur t huus lopt n spoorwieke.
Aan de overkant van het steegje, op een houten bankje, roken de twee zwervers een sjekkie.;Aan d’overkaande van de wieke, op n hòlten baanke, pafken de twij swaarvers n sjèkkie.
Ze groeten mijn vader, papa steekt een hand in de lucht en zwaait terug.;Ze groeten mien voader, pabbe stekt n haand in de locht en swaait terogge.
Ik kijk naar de zwervers.;Ik kiek noar de swaarvers.
Naast de kerel staat tegen het bankje een zwarte wandelstok.;Noast de kerel staait tegen de baanke n swaarde wandelstok.
Van een afstand lijkt het precies op een breekijzer.;Van n òfstand liekt t persies op n breekiezer.
De vrouw is aan het rommelen in de plastic tas.;De vraauw is aan t rommeln in de plestiek tazze.
De tas van Aldi valt door, de hele handel landt eruit.;24 De tazze van Aldi vaalt dele, d’haile handel mietert deruut.
In het droge groene gras liggen vier boeken, een waterpijp, een zak tabak, twee witte handdoeken, een stuk zeep en een flesje water.;In t dreuge gruine gras liggen vaar bouken, n wotterpiebe, n pude tebak, twij widde handouken, n stok zaip en n vlèzze wotter.
Ik kijk de kamer rond.;Ik loer de koamer in t rond.
Op de tafel staat een platte nieuwe televisie, op de vloer naast een stoel van kunststof ligt een nieuwe;Op de toavel staait n pladde nijmoodse kiekkaaste, op de vlouer noast n stoule van stuutsiekoor ligt n nije
MP3-speler, het groene led-lampje van de;MP3-speuler, t gruine led-laampie van de
Playstation knippert.;Playstation knippert.
Ik kijk nog eens goed naar mijn dure spullen.;Ik kiek nog es goud noar mien dure bullen.
Ik kan naar school en kiezen voor een toekomst: waarschijnlijk hadden de zwaarbeurten geen keuze.;Ik kin noar schoule en kaizen veur n toukomst: woarschienlek haren de swaarvers gain keuze.
Het liefst wil ik mezelf een klap voor mijn kop geven.;t Laifst wil k miezulf n diedel veur de kop geven.
Als een blind paard ben ik in de bekende koele meter.;As n blind peerd bin k in de bekende koele mieterd.
Mijn oordeel over een ander is te overhaast geweest!;Mien oordail over n aander is te radjes west!
Veen (Tweede prijswinnaar bij de;Veen (Twijde prieswinnoar bie de
Schrijfwedstrijd 2012 in de categorie;Schriefwedstried 2012 in de kategorie
Proza 13 t/m 17 jaar);Proza 13 t/m 17 joar)
"Krant: het gaat niet best met ons, dat lees ik tenminste dagelijks in de krant, maar ik maak me daar geen zorgen over; als het niet anders kan, gaat de krant aan de kant.";Kraante t gaait nait bèst mit ons dat lees k teminzent doaglieks in de kraante mor ik heb doar gain kopzörg over ast nait aans kin din gaait de kraante aan de kaante
Nummer 38 juli 2012;Nummer 38 juli 2012
Westeremmen (;Westeremmen (
Boerderij;Boerderij
Helmantel);Helmantel)
KREUZE nummer 38 7e jaargang redactie:;KREUZE nummer 38 7e joargang redaksie:
KREUZE 39 komt uit begin november;KREUZE 39 komt oet begun november
Bijdragen kun je opsturen tot 24 oktober 2012 2;Biedroagen kin j’opsturen tot 24 oktober 2012 2
Mijn laatste kruimels -;Mien leste krummels -
Oma –;Opoe –
Rekenner -;Reker -
Wat een paard:!;Vot peerd:!
Uldriks;UIldriks
Een dikke deugniet-;Ain dikke deugnait-
Berkellaand-;Berkellaand-
Kees en;Kees en
Herman -;Herman -
Utopie ?;Utopie ?
Goedgekeurd -;Goudkeurd -
Miemer-imitatie van het leven -;Miemeroatsie van t leven -
Oma's eerbaaien -;Opoes eerbaaien -
Olburgen -;Olburgen -
Grenzen,::..;Grenzen,::..
Klokken;Klokke
Roeland-;Roeland-
Wachtkamer-;Wachtkoamer-
Wat gaan -;Vot goan -
Jong en wolf -;Jong en wolf -
Stille waters, diepe gronden -;Stille wotters, daipe gronden -
Berend wacht niet -;Berend wacht nait -
Weep en;Weep en
Jupiter -;Jupiter -
Alle ideeën -;Olle ideeën -
Beslagen -;Besloagen -
Rugklacht ien:::..;Rugklacht ien:::..
Sleumer 3, 4 4 5, 6 7 7 8, 9 9 10 11 11 12, 13 13 14 14 15 16 17 17 17 18 18, 19 19 20 20 21;Sleumer 3, 4 4 5, 6 7 7 8, 9 9 10 11 11 12, 13 13 14 14 15 16 17 17 17 18 18, 19 19 20 20 21
Mijn laatste kruimels Vrijdag, de laatste dag van de vakantie.;Mien leste krummels Vrijdag, de leste dag van de vekansie.
Benoem een dag van het plakken van de koper, een hamer voor een lange rij auto's bij de grens, een beetje schuiven door het dorp, de rekeningen van het café gelijk maken.;Benoam n dag van t klevaaiern van de kovver, n huver veur n lange riege auto’s bie de grins, n beetje schoavern deur t dörp, de reken van t kefee liek moaken.
En het belangrijkste: is mij niets ontgaan?;En t belangriekste: Is mie niks ontkommen?
Een laatste dag: eigenlijk is het altijd een schietdag.;n Leste dag: aigenliek is t aaltied n schietdag.
Een dag zonder oogmerk!;n Dag zunder oogmaark!
Met de bedoeling om mijn fiets te repareren, ging ik naar de kelder van het hotel.;Mit de bedoulen om mien fietse te himmeltjen, gingel ik noar de kelder van t hotel.
Twijfel sluipt in mijn hart.;Twievel sloept in mien hazzens.
Buiten is het slecht weer, ik heb stijve spieren en ik ben doodmoe.;Buten is t schier weer, k heb stieve spieren en k bin wummelg.
Ik kijk naar mijn fiets, het lijkt net alsof hij mij uitnodigt.;Ik kiek noar mien fietse, t liekt net asof e mie nuigd.
Langzaam maar zeker loop ik weer terug naar de kamer.;Radjes boester ik weeromme noar de koamer.
‘Nu al klaar,’ is het geluid van een kanon bij het begin van een marathon.;‘Nou al kloar,’ heurt as t geluud van n kenon bie t begun van n marathon.
Eer ik mijn schuldgevoel wil verdoven met de vraag: ‘Staat er voor vandaag nog wat op de planning?’ hoor ik: ‘Ga maar.’;Eer k mien schuldgevuil wil beduzzeln mit de vroage: ‘Staait ter veur vandoage nog wat op stoapel?’ heur k: ‘Goa mor.’
Angela: mijn eerste liefde.;Angela: mien eerste laifde.
De vrouw in mijn bestaan: slecht, brutaal, eerlijk, trouw en zorgzaam.;De vraauw in mien bestoan: schier, routerg, eerlek, traauw en zörgzoam.
Ik heb haar jarenlang op een voetstuk geplaatst, ik sta er eindelijk naast.;Ik heb heur joarenlaank op n voutstok ploatst, k stoa der endelk noast.
Lange tijd ben ik haar zorgkind geweest: tot tien tellen kostte haar veel moeite, het was onrustig in het hoofd.;Laange tied bin k heur zörgenkind west: mit tot tiene tellen haar k veul muite, t war onwereg in de kop.
Soms verbaas ik me over haar, als ze een onverwacht idee heeft.;Sums vervluik ik heur, as ze n onverdachts bestel het.
Waarschijnlijk is het een onderdeel van mannelijk haantjesgedrag.;Woarschienlek is t n onderdail van mannelk hoantjesgedrag.
Een leven zonder haar kan ik me niet voorstellen, ik hoop dat onze Laimeneer mij als eerste haalt.;n Leven zunder heur kin k mie nait veurdoktern, k wins dat ons Laimeneer mie t eerst hoalt.
Zo, genoeg emotie en geouwehoer, waar was ik gebleven?;Zo, genog emootsie en gejeuzel, woar war k bleven?
Ik ga fietsen op de;Ik goa bozzeln op de
Passo;Passo
Umbrail, de hoogste bergpas in het altijd luchtige, hartelijke;Umbrail, d’ hoogste baarge in t aaltied luchtege, hartelke
Zwitserland.;Zwitserlaand.
Het begin van de klim is makkelijk, ik voel me de ‘Keizer van de Alpen.’;t Begun van de klim is makkelk, k vuil mie de ‘Kaaizer van d’Alpen.’
De zon schijnt en de lucht is blauw.;De zunne schient en de locht is blaauw.
Vrij is het gevoel in het lichaam en langs de bergwand slentert ‘Mijn toentje’ zo omhoog.;Vree doalt dele in t liggoam en langs de baargwand slentert ‘Mien toentje’ zok omhoog.
Zal ik meedoen aan ‘Idols’?;Zel k mitdoun aan ‘Idols’?
Ze zijn nog altijd op zoek naar een nieuwe Roef.;Ze binnen nog aaltied op zuik noar n nije Roef.
Langs de kant van de weg scharrelen twee of drie schapen.;Langs de kaande van de weg sjaauwen twij her 3 ders.
Ze kijken me glazig aan en met een vinger wijzen ze naar de sterren.;Ze kieken mie gloepsk aan en mit n vinger wiezen ze op de steern.
De schapen zijn bang voor Ede Staal!;De schoapen binnen baange veur Ede Staal!
Ik neem het besluit om te stoppen met zeuren.;Ik nim t besloet om te stoppen mit lellen.
Een weg vol met grind, stenen en zand brengt me in het echte leven terug.;n Stok weg vol mit groes, stainen en zaand dut mie in t jechtege leven terogge kommen.
Verdomme,;Verdamme,
Zwitserland, een van de rijkste landen ter wereld, heeft precies op deze plek, waar ik aan het fietsen ben, geen asfalt gelegd!;Zwitserlaand, ain van de riekste laanden in de wereld, het persies op dit stee, woar ik aan t fietsen bin, gain asfaalt legd!
Herinneringen aan vroeger, een kleurentelevisie was een droom, schieten door mijn hoofd.;Herinnerns aan vrouger, n kiekkaaste mit kleur war n dreum, schaiten deur de kop.
Coppi, Bartali, de beste Italiaanse wielrenners die er zijn geweest.;Coppi, Bartali, de beste Italioanse wielrenners dij der west binnen.
Ze reden op dezelfde bergpas.;Ze swaiten op dezulfde baarge.
Geen gedoe: de banden om het wiel knopen en zorg voor het materiaal was er niet.;Niks gain gedwèlm: de baanden om t lief knupt en zörg veur t materioal war der nait.
Zomaar rechtstreeks de berg op!;Ars kars mars de baarge op!
Als onze;As ons
Laimeneer echt bestaat, dan wil ik op dit moment: meters vriezende sneeuw, een gierende wind, een zwart-witte wereld, een gammele fiets en een goede fotograaf.;Laimeneer echt bestaait, din wil k op dit mement: meters vrizze snij, n poeste wind, n swaartwidde wereld, n gammele pokkel en n goie fotogroaf.
Net als mijn helden uit het verleden wil ik ook gezien worden!;Gliek as mien helden uut t vleden wil k ook òfzain!
Nog vijftig meter, dan ben ik op de top van de Passo Umbrail.;Nog fiefteg meter, din bin k op de top van de Passo Umbrail.
Ik ben mezelf kwijt, ik verlang naar een eethuisje waar stamppot met extra uien op het menu staat.;Ik roek miezulf, ik kaain noar n goarkeuken woar stimstamp mit extroa siepels op de koarde staait.
In de verte zag ik de Passo dello Stelvio.;In de wiedte zai k de Passo dello Stelvio.
De berg maakt me kapot.;De baarge doagt mie uut.
‘Kom op maar, niet aarzelen, nog maar een kilometer of vier klimmen.;‘Tou mor, nait taimeln, nog mor n kilometer of vare klimmen.
Ben je een watje;Bist n schieterd
Erik, bij mij durf je het niet!’;Erik, bie mie duurfst t nait!’
Stelvio, als je het snel neemt, denk je aan een lekker glas wijn.;Stelvio, as je t rap nuimen, dinken je aan n lekker glas wien.
Zoet van smaak en rollend over de tong.;Zuit van smoak en rollend over de blèrre.
Zo mooi als de naam is, zo gruwelijk en brutaal is de klim.;Zo schier as de noam is, zo graauw en groeterg is de klim.
Passo dello Stelvio, voor wekelijks leden was een dag op deze berg een uitdaging.;Passo dello Stelvio, vaar weke leden haar k n schietdag op dizze baarge.
Ik heb het gevoel dat ik thuiskom: mijn zware fiets wordt een vijand, de pijn speelt op en de tranen worden nat.;k Heb t gevuil dat ik thuuskom: mien swoare pokkel wordt n vijaand, zeerte speult op en de glimmers worden nat.
Eindelijk, een boom met wat schaduw.;Endelk, n bome mit wat schare.
Ik nestel me op een rots, ik blaas wat lucht uit de longen, ik laat een vrieskoude wind en ik stuur een sms naar;Ik nuzzel mie op n rotse, k bölk wat locht uut de longen, k loat n vrizze wind en k stuur n sms noar
Rein.;Rein.
Rein, drie jaar geleden zag ik hem voor het eerst tijdens een vakantie in de Dolomieten.;Rein, drij joar leden zag k hom veur t eerst tiedens n vekansie in de Dolomieten.
Hij zou wel een broer van mij kunnen zijn: eerlijk, koppig en dezelfde trekjes.;Hai kin wel n bruier van mie wezen: eerlek, stiefkopt en dezulfde meroakels.
Vorig jaar heb ik twee weken met hem door de Alpen gejaagd.;Veureg joar heb k twij weke mit hom deur d’Alpen jagd.
Vijftien dagen lang lachen, zuipen en grappen maken.;Fattien doagen laank laggen, zoepen en maaljoagen.
Hij is een kleine slaper, vaak sliep hij maar een paar uur.;Hai is n minne sloaper, voak sluip e mor n poar uur.
Tijdens het eten had hij het altijd over een heldere maan die de hele nacht te zien was.;Tiedens t eten haar e t aaltied over n kloare moane dij e d’haile nacht zain het.
Het was mijn lichtmaan, die door het verschuiven van mijn dekbed, de gan-;t War mien lichtmoan, dij deur t verschoeven van mien dekbèrre, de gaan-
ze nacht in zijn glinstering straalde.;4 ze nacht in zien glimmers stroalde.
Na een tijdje krijg ik een sms terug: het liggaam kan meer dan de geest!;Radjes krieg k n sms terogge: t Liggoam kin meer as de gaist!
Gelijk heb je.;Geliek het e.
Passo dello Stelvio, ik kom eraan!;Passo dello Stelvio, ik kom deraan!
De laatste kilometers zijn een hel op twee wielen: er hangt een dikke buik onder mijn fietsshirt.;De leste kilometers binnen n hel op twij roadens: der hangt n dikke buuk onder mien fietsshirt.
Een nieuwmoderne fiets van carbon, zelf vijftien kilo te zwaar.;n Nijmoodse fietse van carbon, zulf fieftien kilo te swoar.
Op een hongerkuur, meer trainen, het zal wel.;Op n hongerkaamp, meer trainen, t zel wel.
Nog een paar meter, ik zag de gedenksteen voor Fausto Coppi.;Nog n poar meter, k zai de gedenkstaine veur Fausto Coppi.
De stroom drukt me de keel toe!;De strödde drokt mie d’haals tou!
Ik voel me een zachte turf in mijn witte boxershort en roze fietsshirt.;Ik vuil mie n waike törf in mien widde boksem en roze fietsshirt.
Eigen schuld, ik heb de inzichten van mijn zoon in de wind geslagen.;Aigen schuld, k heb d’inzeggen van mien zeun in de wind slagd.
Ik zoek beschutting, rap schiet ik het café in.;Ik zuik verschoel, rap schait ik t kefee in.
Gelukkig, op de plek van vier weken geleden zit niemand, de lelijke tweeling loopt ook nog in de bediening.;Gelokkeg, op t stee van vaar weke leden zit gainain, de lelke twijling lopt ook nog in de bedainen.
Kniezend ga ik zitten, ik denk aan een uitspraak van de kerel op het werk: 'Die vrouw is zo lelijk, daar wil nog geen iemand aan plakken blijven.';Kniezend goa k zitten, k dink aan n uutsproak van n kerel op t waark: ‘Dij vraauw is zo lelk, doar wil nog gain ieme op plakken blieven.’
In een café op de;In n kefee op de
Stelvio aan het werk denken!;Stelvio aan t waark dinken!
Wil ik zo graag naar huis?;Wil k zo groag op huus aan?
Ik krijg daar een kop koffie, het smaakt niet, het is slootwater.;Ik komdaaier n kop kovvie, t smoakt nait, t is joegelwotter.
Ik begon te praten over goede koffie.;k Begun te prakkezaaiern over goie kovvie.
Koffie met Buisman, de hele dag kletsen op het treintje, op een ouderwets fornuis van Etna.;Kovvie mit Buisman, d’haile dag porrelmorreln op n trefie, op n olderwets fornuus van Etna.
Buisman, een bezopen grijsaard, rijk worden door het krullen van een ander.;Buisman, n begozzelde grienderd, riek worden deur t krinzeln van n aander.
Goede koffie: het was koffie van mijn grootmoeder!;Goie kovvie: t war kovvie van mien grootmoeke!
Zes jaar geleden is haar tijd gekomen.;Zes joar leden is ze uut tied kommen.
Ik mis haar.;Ik mis heur.
Een traan valt op het tafelkleed, de tweeling lacht me uit.;n Troane vaalt op t toavelklaid, de twijling lagt mie oet.
Ik betaal de koffie en ik ga de fiets maar eens zoeken.;Ik betoal de kovvie en k goa de fietse mor es zuiken.
De fiets als morfine tegen de pijn!;De fietse as morfine tegen de piene!
Bij het gemak van het café bekijk ik zwart-wit plaatjes en oude wielershirts.;Bie t gemak van t kefee bekiek ik swaartwidde ploatjes en olde wielershirts.
Ik neem afscheid van de;Ik nim òfschaaid van de
Gavia,;Gavia,
Umbrail,;Umbrail,
Passo del;Passo del
Mortirolo en de;Mortirolo en de
Stelvio: vier beroemde bergen in één omgeving.;Stelvio: vaar vernuimde baargen in ain omgeven.
In de bijbel staat dat onze Schepper de wereld in zes dagen maakte.;In de biebel staait dat ons Laimeneer de wereld in zes doagen moakt het.
Ik denk dat op deze plek het begonnen is.;Ik dink dat op dit stee t begun west het.
Mijn laatste kruimels, een urn met grijs-wit poeder, moet op de Passo dello Stelvio uitgestrooid worden.;Mien leste krummels, n urn mit grieswit pouder, mout op de Passo dello Stelvio uutstreud worden.
Ik wil voor altijd in een ijzige bergwind langs een top jagen en door een ruige afgrond razen.;k Wil veur aiveg in n iezege baargwind langs n top joagen en deur n roege òfgrond roazen.
Gelijk aan een leven met hoge pieken en diepe dalen.;Geliek aan n leven mit hoge paiken en daipe doalen.
Op het;Opoe t
Alle klokje tikt rustig aan de muur;Olle klokje tikt rusteg aan de muur
De warmte komt je in de mond;De waarmte komt joe in de muid
Klonter en koffie, daar ruikt het naar;Klonje en kovvie, doar rokt het noar
Op het schaaltje op tafel ligt wat fruit;Op t schoaltje op toavel ligt wat fruit
Met veel moeite komt oma in het eind;Mit veul muite komt opoe in t ind
Om met trillende hand in te schenken “Moet er ook een koekje bij?”;Om met trillende haand in te schenken “Moust der ook een koekje bie?”
Tromke staat in de zon te blinken;Tromke staait in de zunne te blinken
Dan komen de foto's van vroeger;Den kommen de foto's van vrouger
En oma vertelt over die tijd;En opoe verteld over dai tied
Dan hangen we allemaal aan haar lippen;Den hangen wie aalmoal aan heur lippen
Maar over het algemeen is ze wel wat kwijt;Mor aalgedureg is ze wel wat kwiet t
Het was hard werken daar bij die boer, ze hadden het slim zwaar op het aardappelland met honden op stok en vroeg daar uit en het schieten van het koren deden ze met de hand “Een toompje honden voor iedereen en soep;Was haard waarken doar bie dai boer ze hadden t slim stoer op t eerappellaand mit hounder op stok en vroug der oet en t zichten van t koren deden ze mit haand “Een toompje hounder veur aaier en soep
Een groentetoompje”, zei oma, “had ik;Een gruinte toentje”, zee opoe, “haar ik
Met rabarber, albeerns en;Mit rebaarber, aalbeerns en
Kroon;Kroon
En op de bleek stond een houten linnenrek”;En op de blaik ston n holten linnenrik”
Dan valt ze stil en je ziet haar denken;Den vaalt ze stil en je zain heur denken
Denken aan de tijd van weleer;Denken aan de tied van weleer
We trekken jassen aan en geven oma een smak;Wie trekken jaas aan en geven opoe een smok
We gaan weer naar huis, tot een volgende keer;Wie goan weer op hoes aan, tot n volgende keer
Reker (16);Reker (16)
Huttinga “Eh, eens kijken wie hebben we dan nog zo oud.;Huttinga “Eh, ais kieken wel hebben we den nog zo aal.
Dubbeldam had het zijn.;Dubbeldam haar t zain.
Ester knikte ook.;Ester knikte ook.
Marnixs probeerde zijn best te doen om niet te reageren.;Marnixs pebaaierde zien best te doun om nait te reageren.
Maar bij de laatste namen was er wat west.;Mor bie de baaide leste noamen was der wat west.
Niet te benoemen met woorden.;Nait te benuimen mit woorden.
Zonig aan te zien.;Zuneg aan te zain.
Maar hoe hadden ze het vernomen.;Mor baaident haren ze t vernomen.
Ze zaten goed.;Ze zaten goud.
“Nou wat is uw antwoord, beste man?” “Stik er maar in, ik wil dit niet langer.;“Nou wat is joen antwoord, beste man?” “Stik der mor in, ik wil dit nait langer.
Barbara Reker en Vink.;Barbara Reker en Vink.
Wat moet ik met die namen.;Wat mout ik mit dij noamen.
Allemaal van mensen die ik nog nooit gezien heb of gesproken heb.”;Aalmoal van minsken dij k nog noeit zain heb of sproken heb.”
Edens kwam bij het raam staan met een boek.;Edens kwam bie t roam stoan mit n bouk.
Ze hield het naar het licht, omdat ze het bijna niet lezen kon.;Ze huil t noar t licht, ofdat ze t hoast nait lezen kon.
“Kijk Harry”, zei ze.;“Kiek Harry”, zee ze.
Dubbeldam was verbaasd.;Dubbeldam was verboasd.
Dat deed ze nooit.;Dat dee ze noeit.
Hem bij voornaam noemen.;Hom bie veurnoam nuimen.
Wat was er wel niet.;Wat was der wel nait.
“Kijk, meneer Marnixs.;“Kiek, meneer Marnixs.
Dit boek is geschreven door Barbara Vink.;Dit bouk is schreven deur Barbara Vink.
En laat ik nou weten, dat Barbara Vink een andere naam heeft.;En loat ik nou waiten, dat Barbara Vink n aander noam het.
Barbara Vink is haar nom de plume.;Barbara Vink is heur nom de plume.
Bijna niet.;Schier nait.
Nom de plume is sjiek voor pseudoniem.;Nom de plume is sjiek veur pseudoniem.
Maar dat hoef ik u niet te vertellen, François Delcourt.” De man ging staan en weer zitten.;Mor dat huif ik joe nait te vertellen, François Delcourt.” De man ging stoan en weer zitten.
“Ik zal even mijn collega's bijpraten als u dat niet erg vindt.;“k Zel eefkes mien kollegoa bieproaten as je dat nait slim vinden.
Of wilt u het zelf doen.;Of wil je t zulf doun.
Misschien nog wel beter.;Meschain nog wel beter.
Harry, meneer is een expert.” De man liet zijn hoofd zakken.;Harry, meneer is n expert.” De man luit zien kop zakken.
Zijn ellebogen steunden op zijn knieën.;Zien ellebogen steunden op zien knijen.
Toen vond hij zich nog een keer.;Dou hervond e zuk nog n keer.
“Wat wil je nou met je slap gelul.;“Wat wil je nou mit joen slap gelul.
Ik wil dat je weg gaat, dat je me met rust laat.;k Wil dat je vot goan, dat je mie mit rust loaten.
Ik ken geen Barbara Vink en ik ken zeker geen Vera Reker!” Het werd stil.;Ik kin gain Barbara Vink en ik kin zeker gain Vera Reker!” t Wuir stil.
Het werd stil in Olde Muldershoes.;t Wuir stil in olde muldershoes.
Buiten liepen koeien in een lange rij door het grasland.;Boeten luipen koien in n laange riege deur t graslaand.
Het waren er wel meer dan zestig, zeventig, dacht Ester.;t Waren der wel meer as zesteg, zeuventeg, docht Ester.
Waar die nou wel niet vandaan kwamen.;Woar dij nou wel nait vot kwamen.
Het was een vreemde gedachte, die bij haar opkwam en het had niets te maken met de gang van zaken van toen.;t Was n roare gedachte, dij bie heur opkwam en haar niks 5 mit de gang van zoaken van doun.
Twee jongens dreven de beesten op.;Twij jongens dreven de baisten op.
“Meneer Bertil Marnixs, alias Bertil Weerdena, alias François Delcourt.;“Meneer Bertil Marnixs, alias Bertil Weerdena, alias François Delcourt.
Ik ben bang dat je ernaast zit.;Ik bin baang dat je der noast zitten.
Ik heb vroeger goed opgelet en lezen vond ik en vind ik nog altijd een van de mooiste dingen.;Ik heb vrouger goud oplet en lezen vond ik en vind ik nog aaltied ain van de schiere dingen.
Ook ben ik stapelgek op schilderkunst en zeker op wat jullie hier aan de muur hangen hebben.;Ook bin k stoapelgek op schilderkunst en zeker op wat joe hier aan de muur hangen hebben.
Bertil Marnixs is kunstschildilder.;Bertil Marnixs is kunstschilder.
François Delcourt is een gerenommeerd schrijver.;François Delcourt is n gerenommeerd schriever.
En Bertil Weerdena is een leugenaar.;En Bertil Weerdena is n leugenpuut.
En:;En:
Vink is schrijfster en die kennen we in het dagelijks leven beter, nou nee ik moet zeggen, konden we in het dagelijks leven beter als;Vink is schriefster en dij kennen wie in doagliekse leven beter, nou nee ik mout zeggen, konden wie in doagelkse leven beter as
En ik durf te zeggen dat jullie samen ook wat leuks hadden.;En ik duur te zeggen dat je soam ook wat leuks hadden.
En nu niet zeggen, dat het niet zo is.;En nou nait zeggen, dat t nait zo is.
Jullie waren samen met haar in een vakantiehuisje op Zandplaat.;Je waren soam mit heur in vekaansiehoeske op Saandploat.
We hebben de rekening gezien.;Wie hebben de reken zain.
Je had wat met haar.;Je hadden wat mit heur.
Vera Reker is een bekende van jou.;Vera Reker is n bekende van joe.
En nu geen zuide praat meer, ik weet het!;En nou gain zuide proat meer, Ik wait t!
Ik weet het, omdat Vera Reker daar op een van jouw schilderijen staat.;Ik wait t, omreden dat Vera Reker doar op ain van joen schilderijen staait.
En als we zoeken gaan, dan komen we vast nog wel schetsboeken tegen en aans wat, waardoor ze ook op staat.” “Het;En as we zuiken goan, den kommen wie vast nog wel schetsbouken tegen en aans wat, woardat ze ook op staait.” “t
Is wel goed, hou maar op”, fluisterde;Is wel goud, hòl mor op”, fluusterde
Marnixs.;Marnixs.
Het was al wel een tijdje geleden, toen het koppel weer op het bureau was de volgende dag.;t Was al wel kovvietied, dou t koppel weer op t buro was aanderdoags.
Marnixs was gisteren toch rustig meegegaan en had er in een cel nog eens een nachtje over geslapen.;Marnixs was guster toch trankiel mit goan en haar der in n cel nog ais n nachtje over sloapen.
Ester schreef op het witte bord de naam en achternaam van de man die ze meenamen.;Ester schreef op t widde bord de noam en tounoam van de man dij ze mitnomen haren.
Bertil Marnixs.;Bertil Marnixs.
Het stond er zwart op wit.;t Stond der swaart op wit.
Ze werd er blij van.;Ze wuir der bliedeg van.
Dat hoorde niet zo, omdat emoties niets te maken hadden met dit werk.;Dat heurde nait zo, omreden dat emootsies niks van doun haren mit dit waark.
En toch tekende ze een cirkel om de naam.;En toch maggelde ze n sirkel om de noam.
“We willen ook nog eens in zijn huis kijken en snuffelen”, zei ze tegen Dubbeldam.;“Wie willen ook nog ais in zien hoes kieken en snuustern”, zee ze tegen Dubbeldam.
Dubbeldam gromde wat van achter zijn bureau en las door.;Dubbeldam knorde wat van achter zien buro en las deur.
Blad na blad.;Blad noa blad.
“Vanmiddag kan dat wel”, zei hij.;“Vannommerdag kin dat wel”, zee e.
“Ik wil aan de figuren kijken.;“Ik wil aan t figuurzoagen.
Mooie mooie patronen wil ik aan de figuren kijken.;Mooie schiere patronen wil ik figuurzoagen.
Meneer Marnixs heeft ons een hoop te vertellen.” “Ik heb nog wat moeite met de tijd”, zei Ester.;Meneer Marnixs het ons n bult te vertellen.” “Ik heb nog wat muite mit de tied”, zee Ester.
“Het is vandaag.;“t Is vandoag.
En gisteren was het gisteren, een dag voor vandaag.;En guster was t guster, n dag veur vandoag.
Morgen komt er aan.” Ester Edens liet haar collega's plassen.;Mörgen komt der aan.” Ester Edens luit heur kollegoa plazen.
Ze stonden te kletsen voor het bord en begonnen een soort van maandkalender te maken.;Ze ston te prakkezaaiern veur t bord en begon n soort van moandkalender te moaken.
Ze begon met december.;Ze begon mit december.
Daar schreef ze twee namen achter.;Doar schreef ze twij noamen achter.
Bertil Marnixs en Vera Reker.;Bertil Marnixs en Vera Reker.
Bij februari kwam de naam van Bertil Marnixs te staan.;Bie feberwoarie kwam de noam van Bertil Marnixs te stoan.
Bij augustus schreef ze Vera Reker.;Bie augustus schreef ze Vera Reker.
“Wanneer is die vrouw Maria Sofie eigenlijk uit tijd gekomen?”;“Wanneer is dij vraauw Maria Sofie aigenlieks oet tied kommen?”
Dubbeldam liep naar het bureau van Flipje en haalde een vel uit een map.;6 Dubbeldam luip noar t buro van Flipje en hoalde n sedel oet n map.
“Ze kwam in oktober vorig jaar in het hospice, daarvoor had ze in haar eigen woning gelegen.;“Ze kwam in oktober lestleden in t hospice, doarveur haar ze in heur aigen woonderij legen.
In oktober vond de arts het beter dat ze naar het hospice ging.;In oktober vond de arts t beter, dat ze noar t hospice ging.
Daar heeft ze gelegen tot maart.;Doar het ze legen tot meert.
Toen is ze overleden.” Achter maart schreef Ester Edens de naam van Maria Sofia Langqvist.;Dou is ze overleden.” Achter meert schreef Ester Edens de noam van Maria Sofia Langqvist.
Toen zette ze bij Vera Reker en Maria een kruisje achter de naam.;Dou zette ze bie Vera Reker en Maria n kruuske achter de noam.
“Ben je klaar met je kleurplaat”, zei Dubbeldam.;“Bist kloar mit dien kleurploat”, zee Dubbeldam.
Wacht nou maar jong, maar ik moet dingen voor me zien en als ik dit doe, dan kan ik het allemaal beter overzien.”;Wait t wel jong, mor ik mout dingen veur mie zain en as ik dit dou, den kin k t aalmoal beter overzain.”
Dubbeldam haalde zijn schouders op.;Dubbeldam huil zien scholders op.
Zo had elk zijn manieren.;Zo haar elk zien maneuvels.
“Ik neem;“Ik neem
Flipje mee als ik met meneer;Flipje mit as ik mit meneer
