nld_Latn;gos_Latn
Westerwolf, vroeger en nu.;Westerwolde, vroeger en nu”.
De tentoonstellingen, waaraan medewerking wordt verleend door de;De tentoonstellen, woaraan mitwaarkt wordt deur t
Streekhistorisch;Streekhistorisch
Centrum;Centrum
Stadkanaal, zal tot 1 september te bekijken zijn.;Stadskanaal, zel tot 1 september te bekieken wezen.
"5 ""Maakt iedereen niet goed, wat we jullie verteld hebben!";"5 ""Maarkt ale no goud, wat wie joe hebt verteld!"
God zegen uw akker, uw veld en uw veld!;God zegen joen akker, joen veen en joen veld!
Uw schaap' en uw lammer, uw paard' en uw vee!;Joen schaop' en joen lammer, joen peerd' en joen vei!
"Uw vrucht, die duizend, ja duizend maal daai! ""De dienaar en de dienaar en de boer en de vrouw!";"Joen vruchte, dij doezend, jao doezend maol dei!"" ""De meid en de knecht en de boer en de vrou!"
De koeljongen, de schipmaker en de meester daar!;De koujong, de scheiper en meiheer daortou!
Blijf alle goed zonde ook, jullie allemaal te go!;Blieft ale goud zond ook, joe ale te gaor!
"En blijf altijd bij een kaars - tot volgend jaar!""";"En blieft aal bie 'n kander - tot toukommen jaor!"""
Drie koningen neemt hun stok in de hand;Drei keuningen neemt heur staf ter hand
Westerwolfsland,;Westerwoldsche land,
En het licht, dat nooit uitgaat.;En t licht, dat nooit nich oede geit.
Zo lu, dat was dus een echte Westerwoolse schrijver.;Zo lu, dat was dus n eerliekse Westerwolder schriever.
Wil je meer over hem weten, lees dan het boek De verzamelde werken van;Wil je meer over hom waiten, lees din t bouk ‘De verzamelde werken van
Neutboom', geschreven en uitgegeven door;Neuteboom', schreven en oetgeven deur
Luth.;Luth.
(digitaal beschikbaar op h(cid:22)p://issuu.com/webloug/ docs/1769_20392_klein/1?e=7448268/12962195).;(digitoal beschikboar op h(cid:22)p://issuu.com/webloug/ docs/1769_20392_klein/1?e=7448268/12962195).
Ook een oud boek is Roege Wil en andere verhalen van Meyco van Velzen.;Ook n oardeg bouk is ‘Roege Wilt en aander verhoalen’ van Meyco van Velzen.
Daar staan ook een paar verhalen van Neuteboom in.;Doar stoan ook n poar verhoalen van Neuteboom in.
Notitie (redaktie);Noaschrift (redaksie)
De 150ste verjaardag van de meesterschrijver;De 150e geboortedag van meester-schriever
Neutboom is voor de;Neuteboom is veur de
Neutboomstichten een mooie aanleiding om zijn prachtige verhalen onder de aandacht te brengen.;Neuteboomstichten n schiere aanlaaiden om zien prachtege verhoalen onder d'aandacht te brengen.
Daarvoor is er een;Doarveur is n
Neutboom fiets- of wandeltocht lanceerde, die tien plaatsen behalve die in zijn verhalen een rol spelen.;Neuteboom fiets- of wandeltocht lanceerd, dij tien plekken aandut dij in zien verhoalen n rol speulen.
Op die plaatsen kunnen bijbehorende verhaallieden worden gelezen of via een app beluisterd.;Op dij plekken kinnen biebeheurende verhoalfragmìnten lezen of via n app beluusterd worden.
Vanaf 4 juni is het routeboekje 'Een fiets- of wandeltocht in de;Sunt 4 juni is t routeboukje 'Een fiets- of wandeltocht in de
Westerwilde sporen van een meesterschrijver;Westerwoldse sporen van meesterschrijver
Neutboom' (uitgeverij);Neuteboom' (oetgeverij
Profiel in;Profiel in
Beem) verkrijgbaar en is er een tentoonstelling in het museum;Beem) verkriegboar en is der n tentoonstellen in t
Is het weer zo laat, dinsdagavond, moet hij naar huis;Is weer zover, dinsdagoavend, hai mot noar
HEEF HET;EHBO t
Werkt voor hem nog niet af, hij vindt het maar zo.;Waarkt veur hom nog nait versloavend, hai viendt t mor zozo.
Het is dat er vanwege zijn werk anders nooit begonnen was.;t Is dat er mot vanwege zien waark aans was er der noeit met begonnen.
Ze gaan één te lief met twee man sterk.;Ze goan ain te lief met twij man staark.
Man, man, hoe hebben ze het verzonnen.;Man, man, hou hemmen ze t verzonnen.
Hij hoopt niet dat er uitkozen wordt om voor te doen hoe het moet en kijkt de zaal uit ooghoeken door, of er maar weer uit.;Hai hoopt nait dat er uutkozen wordt om veur te doun hou t mot en kiekt de zoal uut ooghouken deur, o kon er mor weer vot.
Er zijn een paar fanatieken die het wel even opknappen.;Der binnen n poar fanatiekelingen dij knappen t wel even op.
Nu de kop erbij is, moet je hem bijten bij de kop.;Nou goud de kop der bie, je hollen hom beet bie kop.
Dat het zo was, wist hij wel, dan had hij het wel goed geleerd.;Dat t zo mos dat wis er wel, den haar der t wel goud leerd.
De fluit komt er weer in huis, het was toch niet zo fout.;Fluitend komt er weer ien huus, t was toch nait zo verkeerd.
Coby Poelman Duistere winkel;Coby Poelman – Duisterwinkel
Wanneer een mens zo iets stout voelt, probeert hij eerst met aloude redelijke huishoudelijke middelen weer op de grond te komen.;As n mens zoch wat seupel vuilt, pebaaiert e veureerst mit alerhaande redzoame hoesmiddels weer op glee te komen.
Mocht dat niet lukken, dan moet hij met het water voor de dokter.;Mocht dat nait lokken, din mout e mit t woater veur dokter.
Zou hij dat pillenbedrijf duidelijk kunnen maken wat hem schrikt?;Zol e dij pillendraaier dudelk moaken kinnen wat hom scheelt?
Zoak is alles zo goed mogelijk uit doeken te maken.;Zoak is alles zo goud meugelk oet douken te doun.
Als de dokter niet begrijpt wat er met hem los is, kan hij wel betwistend iets voorschrijven gaan.;As dokter nait snapt wat er mit hom loos is, kin e ja bezwoarlek wat veurschrieven goan.
Maar het valt bij verre niet gemakkelijk al uw acties klaar op tafel te krijgen.;Doch vaalt t bie toeren nait makkelk aal joen aksies kloar op toavel te kriegen.
Sommige mensen nemen uit voorzorg van hun moeder dan ook maar evenjes mee.;Paardie lu nemen oet veurzörg heur moatje din ok mor evenpies mit.
Twee kennen immers meer dan één.;Twij waiten ja meer as ain.
Als de dokter uiteindelijk zijn conclusies heeft getrokken, weet hij wat hem en u te doen staat.;As dokter oetendelk zien konklusies trokken het, wait e wat hom en joe te doun staait.
Da'vid wist niet meer, hoe hij uit elk laand raaken mocht, hij zag geen andere weg dan hulp te zoeken bij zijn hemel;Doavid nait meer wis, hou e oet ellènd roaken mos, zag e gain aander oetweg as hulp zuiken bie zien hemelse
In 1;In 1
Samuel 30:6 vertelt;Samuël 30: 6 verhoalt
Samuel daarover: Mor;Samuël doarover: “Mor
David mannelijkte zo in de;Doavid mannelkte zoch in de
Hé, zie;Here, zien
God.;God.”
David denkt dat;Doavid denkt dat
Hij kan hem helpen, als hij mentaal helemaal met de pienen bloot moet staan.;Heer hom helpen kin, mout e geestelk hailemoal mit billen bloot.
Moet alle acties bij Hem op tafel leggen, voordat hij iets kan verwachten.;Mout aal aksies bie Hom op toavel leggen, veurdat e wat verwachten kin.
Tegen God moet Koning David precies hetzelfde zeggen als hij het zijn huisarts zou doen.;Tegen God mout Keuneg Doavid krek t zölfde zeggen as e t zien hoesdokter doun zol.
Dan kan zijn Vader hem helpen en wegwijzers maken.;Din kin zien Voader hom helpen en wegwies moaken.
Met de voetvolk is ja van dezelfde laag een pak.;Mit t voutvolk is ja van t zulfde loaken n pak.
De koningen hadden het allemaal nodig om te vinden als ze het niet meer wisten en met de handen in het haar zaten;Keunegen t aal neudeg vonnen om – as ze t nait meer wizzen en mit haanden in t hoar zaten –
God te raad vragen, hoeven we ons immers niet te schamen om, als we eens in de knie zitten, de stap naar;God om road te vroagen, huiven wie ons ja nait te schoamen om, as we ais in knieperd zitten, de stap noar
Hem te maken.;Hom te moaken.
Met zulfde gezondheid komen we er zeker niet aan.;Mit zulfredzoamhaid komen we der wizze nait.
Als we beschoten zijn dat bepaalde zaken ons zo gemakkelijk maken, dat we de lenen die we met ons hebben;As we schietensbenaauwd binnen dat bepoalde zoaken ons zo seupel moaken, dat we liene dij we mit ons
Schepper hebben we, beschadigd of misschien wel wel doorgesneden kunnen hebben, past het ons in alle kleinheid aan onze;Schepper hebben, beschoadegen of meschain wel deursnieden kinnen, paast t ons in aal klaainhaid noar onze
Boes te gaan.;Boas te goan.
Net zoals Doavid deed, kunnen we met onze ziekten goed sterkte zoeken bij onze Meester.;Zo as Doavid dee, kinnen we mit ons zaiktes ok staarkte zuiken bie ons Mester.
Die heeft een verstopt oor.;Dij het vervast n luusternd oor.
Roel Sanders Ik Ik ben mezelf, ik ben ik.;Roel Sanders Ik Ik bin miezulf, ik bin ik.
Ik ben niet volmaakt, maar zo ben ik.;Ik bin nait volmoakt, mor zo bin ik.
"Ik weet wie ik ben en ik weet wat ik wil; Soms ben ik een spreker en soms ben ik stil.";"Ik wait wel ik ben en ik wait wat ik wil; Sums bin ik n proater en sums bin ik stil."
Om mij te leren kennen, moet je dit leren: Ik ben wie ik wil zijn en zo moet je me accepteren.;Om mie kennen te leren, mout je dit leren: Ik bin wel ik wezen wil en zo mout je mie aksepteern.
Geef Hoe oud je ook bent, je kunt wat zijn, want je hebt wat te geven.;Weggeven Hou old je ook binnen, Je kinnen wat wezen, want je hebben wat weg te geven.
Een laag, een knipoog of een blije gezicht.;n Laag, n knik of n blied gezicht.
En dat doet veel in ieders leven.;En dat dut veul in elk zien leven.
Trijnko Pelgrim Olje Ootje en Wia Offlopen Wiedan was erg rauw.;Trijnko Pelgrim Ol Ootje en Wia Oflopen wiekenne was aarg graauw.
Gelukkig had ik van een paar vrienden wat boekenbedrijf gekregen van e.a.;Gelokkeg haar k van n poar kameroaden wat boukjederij kregen van o.a.
Kan ('soms denk ik soms bij mezelf'), 'tussen het;Kan ('Soms denk ik wel eens bij mezelf'), 'Tussen t
Zielen diep en t;Zieldaip en t
Grootmoeder (400 jaar);Grootmoar' (400 joar
Schaam het;Scheemde – t
Waar) en 'Weerzien' van;Woar) en 'Weerzain' van
Kijl.;Kiel.
Heel in het bijzonder om te lezen hoe Wim het woordje 'denken' kan gebruiken in zijn spinnen!;Hail biezunder om te lezen hou Wim Kan t woordje 'denken' gebroekt in zien spinsels!
En heel leuk om te weten hoe het verleden was in Nieuw-Scheme het Waar.;En hail mooi om te waiten hou t verleden was in Nij Scheemde – t Woar.
Schoonmaker;Zwoager
Harm vertelde over;Haarm vertelde over
Kaspel en;Kaspel en
Kerkenwijk en dat;Kerkenwieke en dat
Buise haar moeder bij;Buze heur moeke bie
Opa was in bed geboren.;Ootje in bedstee geboren was.
Dat moest ik meer weten!;Doar mos k meer van waiten!
Het boekje van Nieuw Zeem kwam eraan toe, en;t Boukje van Nij Scheemde der bie, en
ja, op bladzijde 174 was uitgebracht uitgezet, hoe of dat tot 1945 er uit heeft gezien.;joa, op bladziede 174 was oetgebraaid oetstokt, hou of dat tot 1945 der oet zain het.
Wat nu Kerkenwiek heet, was vroeger een bijtak van de Zieldeep.;Wat nou Kerkenwieke hait, was vrouger n ziedtak van t Zieldaip.
Aan beide zijden liep een smal pad voor het volk en de scheepsjager.;Aan weerszieden laip n smaal padje veur t volk en de scheepsjoagers.
Als het erg modderig was, werd er stro over gehakt zodat het nog een beetje overwegbaar was (kan je het bedenken?).;As t hail aarg modderg was, wuir doar stro over mieterd zodat t nog n beetje begoanboar was (kin je joe t indenken?).
De schepen konden zo tot in het centrum komen om te laadden en lossen.;De schepen konden zodounde tot in t centrum kommen om te loaden en lözzen.
Riekoë (Olibië);Riekoa (Ol
Oetje) van;Ootje) van
Koldam, degene die daar tegenover woonde, had een boel van die adviezen aan.;Koldam, dij der tegenover woonden, haren der n bult dievendoatsie aan.
Vooral Rieko, die het kwedel geen minuut stil stond!;Veuraal Riekoa, dij de kwedel gain minuut stil ston!
Zelfs zij hadden ook kinderen, die schipper waren en zo kon zij de meeste mensen die aanlegden wel.;Zulf haren zai ook kinder, dij schipper wazzen en zodounde kon zai de mainste lu dij aanlegden wel.
Voor, daar komt;“Voar, doar komt
Schiet op;Kier
Als je verdergaat met turf, haal je me even een potje vol?;Diekhoes aanvoaren mit törf, hoalst mie dammeet even n koare vol?”
Zelf liep ze de den alvast vooraf om bij te kletsen met;Zulf laip ze den alvast veuroet om bie te kwedeln mit
Kier zijn vrouw.;Kier zien vraauw.
Schippers waren de mobieltjes van deze tijd!;Schippers wazzen de mobieltjes van dizze tied!
Het duurde wat langer, maar ze hadden de kaarten vol met nijs!;t Duurde wat langer, mor zai haren koaren vol nijs!
En kennen jullie die wel;“En waiten ie den wel
Vraag dat;Q dat
Opa is in bed geboren?;Ootje in bedstee geboren is?”
Wia haar grootvader en grootmoeder waren ook schipper.;Wia heur opa en opoe wazzen ook schipper.
Zij lagen als het ware bij Grootmoeder voor het huis.;Zai lagen as t woare bie Ootje veur t hoes.
Beide vrouwen stonden op de wc te kletsen, en dou kreeg vrouw;Baaide vraauwlu stonden op wale te kwedeln, en dou kreeg vraauw
Kopper (opoe);Koeper (opoe
Wia) ernstige krampen in het lichaam.;Wia) aarge krampen in t lief.
Kom vlug mee naar huis!, zei Grootmoeder verschrikt.;“Kom gaauw mit in hoes!”, zee Ootje verschrikt.
Zewde haar met een zachte lape over het gezicht en in de nevel.;Veegde heur mit n nadde lappe over t gezicht en in d'nekke.
Kom je wat bij? Nee. Groep de maar even in bedstee.;“Komst wat bie?” “Nee.” “Kroep den mor even in d'bedstee.
Een beetje rust en even van de benen af is goed.;n Beetje rust en even van bainen òf is goud.
Hier, nog een pepermuntje. En zo is het gekomen, hoe haar moeder werd geboren.;Hier, nog n pepermuntje.” En zo is t kommen, Wia heur moeke wuir geboren.
7 Waar gebeurde het?, wou ik weten.;7 “Woar gebeurd?”, wol ik waiten.
Joa wist!;“Joa wis!
En Epi en Graddus, toen nog kleine jongens, vertelden in het dorp dat ze er een zusje bij hadden gekregen!;En Epie en Gradus, dou nog lutje jongs, vertelden in t dörp, dat ze der n zuske bie kregen haren!
Daar was Opa niet blij mee.;Doar was Ootje nait blied mit.
Ze had al tien jaar zelf! En ken je die ook, die tante;Zai haar zulf al tiene!” “En wait je den ook wel, dat tante
Ontwikkel altijd mooie jurken voor;Trien altied mooie klaidjes veur
"Hoe vroeg is ze als klein meisje begonnen met zingen? ""Daar zit een mooi verhaal in, zei ik 's avonds op de berg tegen mijn moeder.";Wia muik, dou ze as lutje wichtje mit zingen begonnen is?” “Doar zit n schier verhoal in”, zee k soavends op bèr tegen moeke.
En nou, op maandagmorgen staat dat op papier.;En nou, op moandagmörn staait dat op pepier.
Een voldaan voelde zich gekropt bij mij en daarna was het wij dan ook niet zo grauw als het leek!;n Voldoan gevuil bekropt mie en achternoa was t wiekenne toch nait zo graauw as t leek!
Op het ogenblik is het nog erg donker en zonloos. Ik kan er geen druk over maken.;Op t moment is t nog oareg duuster en zunloos Q k Kin mie der nait drok om moaken.
Nutteloos wordt deze dag zeker niet Q Dammet biljart in Nieuw Vredehaven!;Zinloos wordt dizze dag zeker nait Q Dammeet biljarten in Nij Vredenhoven!
Mulen;Meulen
Zeldzaam rust;Zeldenrust
Bij wie woont een timmerman die de dorpsmeulen kan maken, enig enig idee wat er aan de hand is wie dit doet?;Wietwert woont n timmerman dij dörpsmeulen moaken kin, noagelnij docht dou ais aan schoa wèl dut mie dit noa?
Ik doe het nooit, zelden rustig, nooit vrij;k dou t nait, zelden rust, noeit vrij
Huilen;Hoezen
Daar woont toch een kerel;Doar woont ja n kerel in
Hoe dan ook die stapelmaal is op crème-soussen naar de bakker gerend voor het laatste etstunt nu jeuken hem er naast de kozen;Hoezen dij stoapelmaal is op roomsoesen noar bakker gerund veur leste vreetstunt nou jeuken hom aldernoast de koezen
Hallo gewoon Mama, wat doen ze met mensen die dood zijn?;Hail gewoon “Mama, wat doen ze met mensen die dood zijn?”
Joa, die knapt jullie even voor, niet?;Tjoa, dij knapt joe der even veur, nait?
Zo ook mijn vrouw, vanzelfsprekend.;Zo ook mien vraauw, vanzulf.
Maar Q voor ik verder ga, even uitleggen hoe het Gronings bij ons thuis in elkaar steekt.;Mor Q veur k wieder goa, even oetleggen hou t Grunnegs bie ons thoes in nkander stekt.
Ik heb al een keer verteld dat de vrouw een;k Heb al n moal verteld dat vraauw n
Drent is zwerfkinder, dus is het benoemd;Drìnts zwaarfkaaigie is, dus is t benoam
ABN tenminste;ABN oftewel
Allemaal;Algemain
Verlegen;Beschoamend
Nederlands,;Nederlands,
In het begin heb ik de kinderen nog wel aangeraden onze taal bij te brengen, maar dat is niet duidelijk, begrijpt men enkel, maar het spreken heeft weinig tot;In t begun heb k nog wel pebaaierd kinder ons toal bie te brengen, mor da's mishottjet, verstoan gaait meroakel, mor t proaten het waaineg van doun mit
Grunnegs, en kleinkinderen schande genoeg druk, druk, druk: schoolgaan, sporten, computers en koekjes.;Grunnegs, en klainkinder schaande genog drok, drok, drok: schoulgoan, sporten, computern en kazziekieken.
Maar, even terug naar het begin, jullie zijn vast al gekregen van schrik.;Mor, even weerom noar t begun, ie binnen vast al bekommen van schrik.
De vrouw fietst met een klein meisje, toen een jaar of zes en een half zeven, op de Eemskenoaldijk.;Vraauw fietst mit leutje wicht, doudestieds n joar of zes haalfzeuven, op Eemskenoaldiek.
Nou eh, ja eh, je wordt gewoon begraven.;“Nou eh, ja eh, die worden gewoon begraven.”
Cremeren was toen vanzelf nog niet zo bekend, en dat aan een klein beudeltje uitleggen, daar was het nog niet aan toe.;Cremeren was dou vanzulf nog nait zo bekìnd, en dat aan n leutje beudeltje oetleggen, doar was t nog nait aan tou.
Zo dat was er uit en schijnbaar werd het heel duidelijk, want de revolutie ging verder over oudende kinderlijke dingen, dus de vrouw had weer angst.;Zo dat was der oet en schienboar vot hailendaal dudelk, want reveltje gong vernijs over alerhaande kinderlieke dingen, dus vraauw haar weer vree.
Het onderwerp zou op oudere leeftijd zeker wel eens weer om de hoek komen, maar nu had ze het even los van afstudeerd.;t Onderwaarp zol op oldere leeftied vast nog wel ais weer om houk kommen, mor nou haar ze t even loos van òfstubd.
Ja, dat had ze gedacht, zo makkelijk kwam ze er niet af, het antwoord had ze in het kleine kopje nog geen stee gekregen.;Joa, dat haar ze docht, zo makkelk kwam ze der nait òf, t antwoord haar in t leutje kopke nog gain stee kregen.
Eh, mama, begraven?;“Eh, mama, begraven?
Dat is toch niet leuk? 8;Dat is toch niet leuk?” 8
Verdraaid, dacht de vrouw, moest het weer aankomen, eh;Verdold, docht vraauw, mou'k ter weer maank, eh
Vraag dan maar een vraag tegen een vroeger, even reken.;Q din mor n vroag tegen n vroug, even rekken.
Wat had je dan gedacht;“Wat had jij dan gedacht
Hell? Nou gewoon in zo'n plastic zak bij de weg. Ach liefje, kom nou, stel je toch voor dat opa en oma;Hellen?” “Nou gewoon in zo'n plastic zak bij de weg.” “Ach lieverd, kom nou, stel je toch eens voor dat opa en oma
Ook dat kan toch niet? Nou, als;Q och dat kan toch niet?” “Nou, als
Iedereen die dat doet is het heel gewoon.;Iedereen dat doet is het heel gewoon.”
Noord, 12 april 2015;Noord, 12 april 2015
YouTube: https://www.youtube.com/watch?v=LLSiR9vC7Tg n;YouTube: https://www.youtube.com/watch?v=LLSiR9vC7Tg n
Goed eind;Goud ende
"Ze kwam op bezoek, elke dag maar weer; bij haar vader, haar ouderling.";"Zai kwam op verziede, elke dag mor weer; bie heur voader, heur ol heer."
"En hield ze ook haar best die elke keer; hij kon zijn eigen dochter niet meer.";"En hou zai ook heur best dee elke keer; hai kon zien aigen dochter nait meer."
Vroeger een kerel, man en vader dan niemand.;Vrouger n kerel, man en voader as gainain.
Een werker, doorzetter en onverwoestbaar als granietsteen.;n Waarker, deurzetter en onverwoestboar as granietstain.
Maar mama kwam uit de tijd en hij voelde zich erg alleen.;Mor moeke kwam oet tied en hai vuilde zok dou slim allain.
En met de tijd werd ie in en laten we weer klein.;En mit de tied dou wuir e in doun en loaten weer klain.
Vaak vroeg ze zichzelf af: hoe lang gaat dit duren, zelfs al had zij er dan nog wel haar man kunnen genezen.;Voak vruig zai zok òf: hou laank gaait dit duren, ook al haar d’ol man nog wel zien kuren.
"Nee, dan zat hij niet leeg voor zichzelf uit door het raam te touren; dan was het lagen en legde hij elk en elk in de luren.";"Nee, din zat hai nait leeg veur zok oet deur t roam te turen; din was t lagen en legde hai elk en ain in de luren."
Als ze weer wegging, schroefde het ze vaak, want elke keer als het pijn deed, verwijderde het.;As zai weer vot gong, het ze voak schraiwd, want elke keer dee t zeer, t òfschaid.
ZIJN kind ..., als een oudere die dat niet meer weet, ook u begrijpen misschien wel of dat goed gaat.;“Zien kind ...”, as n older dat nait meer wait, och joe begriepen meschain hou of dat gaait.
Nu heeft hij voor altijd zijn ogen dicht.;Nou het hai veur aaltied zien ogen dicht.
Tevredenheid en vrede stralen in zijn gezicht.;Tevree en vredeg stroalt zien gezicht.
En daarentegen, hoe bedroefd zij ook is, zij ziet het licht, want het laatste wat hij zei: Je bent mijn liefste meisje!;En doarin, hou bedruifd zai ook is, zugt zai t licht, want t lèste wat hai zee: “Doe bist mien laifste wicht!”
Een veld;n Hoag
De man uit een;Man oet n
Haag wil hier maar blijven verblijven;Hoag wil hier verblieven mor
Q dikke prijs dut hem verschuiven zijn moeder uit de stad is het ook sténzat nee;Q dikke pries dut hom verstieven zien moeke oet stad is t ook stènzat nee
Q mensen eten hier oude wijnen;Q lu vreten hier olde wieven
Rijden Wat is het toch een mooi golfje, niet?, vraagt hij;Aanrieden “Wat is t toch n schier woagentje, nait?”, vragt
Hij haalt en loopt nog eens rond zijn nieuwe auto.;Haarm en lopt nog ais om zien nije auto tou.
Riko kan niet aanstaan als hij gelijk geeft en vee met een spons de eerste moddersputters van de deuren.;Rikoa kin nait aans as hom geliek geven en veegt mit n sponze d'eerste moddersputters van de deuren.
Ja man, een mooi waaier is het wel, maar hij heeft een hoop geld gekost.;“Joa man, n schier woagentje is t wel, mor hai köstde wel n bult geld.
Ik weet wel, het kon niet aanstaan, onze oude auto was immers helemaal versleten.;k Wait wel, t kon nait aans, ons ol autootje was ja totoal versleten.
Het zou ja kapitale kosten om hem door de DPK te krijgen.;t Zol ja kaptoalen kösten om hom deur d’APK te kriegen.
Maar goed dat ik iedere maand een beetje geld aan haar had toegevoegd.;Mor goud dat ik elke moand n beetje geld aan zied legd haar.
"Dik achtduizend euro is toch wel een hoop geld. ""We moeten ervoor zorgen dat we hem zo lang mogelijk mooi houden,"" zegt hij,";Dik achtdoezend euro is toch wel n bult geld.” “Wie mouten zörgen dat we hom zo laank meugelk schier holden,” maint
Moe, terwijl dat met een gromend gezicht om zijn nieuwe verworvenheid touloopt.;Haarm, terwiel dat mit n grollend gezichte om zien nije aanwinst toulopt.
Dat is Riko ook alweer met hem eens.;Dat is Rikoa ook al weer mit hom ains.
's Avonds gaan ze nog wel drie keer naar het garage om naar het golfje te kijken en op bed zijn ze die nacht erg onrustig.;Soavends goan ze nog wel drij moal noar de gerage om noar t woagentje te kieken en op berre binnen ze dij nacht slim onrusteg.
De volgende morgen staan ze al op tijd op en de eerste rijze van Haarm is naar het autoetje gekeken.;d’Aander mörn stoan ze al op tied op en d’eerste raaize van Haarm is noar t autootje kieken.
Hij zette zichzelf buitenstaander op de binnenrij, zodat alle buren goed kunnen zien dat ze de oude auto hebben ingeruild.;Hai zet hom boetendeure op d’inrit, zodat ale buren goud zain kinnen dat ze d’olde auto inruild hebben.
Maar er moet ook werk worden gedaan.;Mor der mout ook aarbaid worden.
Na het broodje gaat;Noa t broodeten gaait
Harm daarom in zijn kleinigheid aan de computer zitten om zijn administratie bij 9 te werken.;Haarm doarom in zien ketoortje aan de computer zitten om zien adminstroatsie bie te 9 waarken.
Als kleinkind zelfstandige winkelier heeft hij daar in de week geen tijd voor.;As klaaine zulfstandege winkelier het e doar in de weke gain tied veur.
Dat moet dus op zaterdag gebeuren.;Dat mout dus op zotterdag gebeuren.
In de keuken is Riko in het weer met het kopje wassen.;In de keuken is Rikoa in de weer mit t kopkeswassen.
Pas jij de dame even op de winkel,;“Paast doe dammee even op de winkel,
Slecht, vraagt ze, dan ga ik even naar de supermarkt voor de boschoenen.;Haarm,” vragt ze, “din goa ik even noar de supermaark veur de bosschoppen.” t
Hartelijk wel goed.;Haarm wel goud.
Zo druk is het op zaterdag toch nooit.;Zo drok is t op zotterdag toch nooit.
Een half uurtje later krijgt Rikoa de mat en dut de lege vlezen erin.;n Haalf uurtje loater krigt Rikoa de madde en dut de lege vlezzen derin.
Dan kijkt ze of ze genoeg geld in de poddemeene heeft.;Din kikt ze of ze genog geld in de poddemenee het.
Nog even Haarm waarschuwen dat ze weggaat.;Nog even Haarm woarschaauwen dat ze vot gaait.
Zal ik de nieuwe auto maar meenemen? vraagt ze.;“Zel k de nije auto mor mitnemen?”, vragt ze.
Harem mompelt iets en Riko gaat ervan uit dat dat akkoord inhield.;Haarm mompelt wat en Rikoa gaait ter vanuut dat dat instemmen inholdt.
De blade steekt ze in en gaat achter het stuur zitten.;Bliede stapt ze in en gaait achter t stuur zitten.
Mooie hoor, zo'n nieuwe golf.;Mooi heur, zo’n nije woagen.
Voorlopig redt ze hem van de drift van de weg op en dan met een rustig beetje naar het centrum van het dorp.;Veurzichies ridt ze hom van de drifte òf de weg op en din mit n rusteg gankje noar t centrum van t dörp.
Het autoetje doet zijn best en Rikoa voelt zich rijk.;t Autootje dut zien best en Rikoa vuilt zuk riek.
Verdorie, daar staat hun een grote bus in de weg.;Verrek, doar staait heur n grode bus in de wege.
Moet ze eromheen of moet ze even wachten tot hij vertrok?;Mout ze der omtou of mout ze even wachten totdat e votreden is?
We moeten even geduld hebben.;Mor even geduld hebben.
Nu heeft ze mooi tijd om even een pepermuntje uit de handschoenenkas te pakken.;Nou het ze mooi tied om even n pepermuntje uut handschounenkaske te pakken.
Ze rompt met haar rechterhand in het vakje.;Ze rommelt mit heur rechterhaand in t vakje.
Daar heeft ze de rolletje al gepakt.;Doar het ze t roltje al te pakken.
Verdedigtje, dan valt hij haar ook nog uit de hand.;Verdeedje, doar vaalt e heur ook nog uut d’haand.
Din moest even boeken om hem op te pakken.;Din mor even boeken om hom op te pakken.
Maar dat kost wel een beetje moeite.;Mor dat köst wel n beetje muite.
Het is verder dan dat het lijden kan en daarom kan ze niet goed zien wat er gebeurt.;t Is wieder vot din t lieden kin en doardeur kin ze nait goud zain wat of der gebeurt.
BOEM, hoort ze ineens.;BOEM, heurt ze inains.
Als een broenvis schiet ze overende en ziet dat de bus tegen haar nieuwe auto staat.;As n broenvis schut ze overende en zugt dat de bus stoef tegen heur nije auto aanstaait.
De hele voorkant van de nieuwe overname is behoorlijk geïndecteerd.;d’Haile veurkaande van de nije aanwinst is behoorlek indeukt.
Die stomme busbestuurder ook.;Dij stomme bussjefeur ook.
Met een gang stapt ze uit om met opgezette zaad de chauffeur even te vertellen wat ze er van vindt.;Mit n gang stapt ze uut om mit opgestoken zaail de sjefeur even te vertellen wat of ze der van vindt.
Waarom zorgt zo'n vent er niet voor dat zijn bus stopt en niet achteruit rollt?;Woarom zörgt zo’n stovvel nait dat zien bus stoan blift en nait achteruut rolt?
Die busjongens denken dat ze alle rechten hebben.;Dij busjonges mainen dat ze ale rechten hebben.
De chauffeur, die ook verondersteld heeft dat ter iets niet goed komt, is ondertussen ook uitgestapt.;De sjefeur, dij ook vernomen het dat ter wat nait goudkomt, is ondertussen ook uutstapt.
Aan zijn bus is aan de achterkant niets te zien, maar;Aan zien bus is aan d’achterkaande niks te zain, mor
Rikoa haar koplampen en grill zijn daarom verwarmd.;Rikoa heur koplampen en grill binnen doaneg verinnerweerd.
Hoe kun je nu zo gek zijn en jullie bus achteruit laten rollen.;“Hou kin je nou zo gek wezen en joen bus achteruut rollen loaten.
Daar kan ik immers nooit op verdoemd zijn, scheldt;Doar kin ik ja nooit op verdocht wezen,” scheldt
Rikoa, woar moet ik dit nu aan mijn man vertellen?;Rikoa, “hou mout ik dit nou aan mien man vertellen?
Het autoetje is nog maar een beetje;t Autootje is nog mor n
dag oud. Hoe, laten we achteruitrollen?, vraagt de chauffeur, of hij even een woordje tussenin kan krijgen.;dag old.” “Hou, achteruutrollen loaten?”, vragt de sjefeur, as e der even n woord tussen kriegen kin.
